text,primary_emotion,intensity,emoji_1,emoji_2,emoji_3,source,created_at,confidence,augmentation_type
Ăn phấn khởi thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn phấn khởi thôi!,joy,4,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.95,synonym
Ăn rất mừng thôi!,joy,5,🎉,🍻,🥳,augmented,2026-01-09T05:27:58.571879,0.9,intensity
Vui ghê!,joy,3,😊,😄,🙂,manual,2026-01-09T05:27:58.571880,1.0,original
hào hứng ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
hạnh phúc ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
sung sướng ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
sung sướng ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
sung sướng ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
sung sướng ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
hào hứng ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
hạnh phúc ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
phấn khởi ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
sung sướng ghê!,joy,3,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.95,synonym
Vui rất ghê!,joy,4,😊,😄,🙂,augmented,2026-01-09T05:27:58.571880,0.9,intensity
Có tin vui nè!,joy,4,😊,✨,🌈,manual,2026-01-09T05:27:58.571882,1.0,original
Có tin cậy vui nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tin hào hứng nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tin phấn khởi nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tin sung sướng nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tin tưởng vui nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tin hạnh phúc nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tưởng vui nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tin cậy vui nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tin sung sướng nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có tin hào hứng nè!,joy,4,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.95,synonym
Có rất tin vui nè!,joy,5,😊,✨,🌈,augmented,2026-01-09T05:27:58.571882,0.9,intensity
Buồn quá,sadness,5,😭,😢,💔,manual,2026-01-09T05:27:58.571884,1.0,original
chán nản quá,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
thất vọng quá,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
thất vọng quá,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
Buồn thật,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
Buồn cực,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
Buồn ghê,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
u sầu quá,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
đau buồn quá,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
chán nản quá,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
thất vọng quá,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571884,0.95,synonym
Mình rất nhớ bạn,sadness,4,😢,💔,🥺,manual,2026-01-09T05:27:58.571886,1.0,original
Mình rất thương nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình rất thương nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình rất nhung nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình rất nhung nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình vô cùng nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình rất thương nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình siêu nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình rất thương nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình rất thương nhớ bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình rất da diết bạn,sadness,4,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.95,synonym
Mình cực kỳ rất nhớ bạn,sadness,5,😢,💔,🥺,augmented,2026-01-09T05:27:58.571886,0.9,intensity
Thật đáng tiếc,sadness,3,😔,😞,💔,manual,2026-01-09T05:27:58.571888,1.0,original
Thật rất đáng tiếc,sadness,4,😔,😞,💔,augmented,2026-01-09T05:27:58.571888,0.9,intensity
Hôm nay không vui,sadness,3,😔,☹️,😞,manual,2026-01-09T05:27:58.571890,1.0,original
Hôm nay không phấn khởi,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không hạnh phúc,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không sung sướng,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không hào hứng,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không hạnh phúc,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không hạnh phúc,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không phấn khởi,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không phấn khởi,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không sung sướng,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm nay không phấn khởi,sadness,3,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.95,synonym
Hôm rất nay không vui,sadness,4,😔,☹️,😞,augmented,2026-01-09T05:27:58.571890,0.9,intensity
Thi trượt rồi,sadness,4,😭,😢,💔,manual,2026-01-09T05:27:58.571892,1.0,original
Thi rất trượt rồi,sadness,5,😭,😢,💔,augmented,2026-01-09T05:27:58.571892,0.9,intensity
Chia tay rồi,sadness,5,💔,😢,😭,manual,2026-01-09T05:27:58.571893,1.0,original
Mất việc rồi,sadness,5,😭,😞,💔,manual,2026-01-09T05:27:58.571895,1.0,original
Cô đơn quá,sadness,4,😢,🥺,😔,manual,2026-01-09T05:27:58.571897,1.0,original
Cô đơn lắm,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn ghê,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn cực,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn cực,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn cực,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn cực,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn ghê,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn lắm,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn lắm,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô đơn thật,sadness,4,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.95,synonym
Cô rất đơn quá,sadness,5,😢,🥺,😔,augmented,2026-01-09T05:27:58.571897,0.9,intensity
Nhớ nhà,sadness,4,🥺,😢,🏠,manual,2026-01-09T05:27:58.571899,1.0,original
nhung nhớ nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
da diết nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
nhung nhớ nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
thương nhớ nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
da diết nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
nhung nhớ nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
thương nhớ nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
da diết nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
nhung nhớ nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
nhung nhớ nhà,sadness,4,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.95,synonym
Nhớ rất nhà,sadness,5,🥺,😢,🏠,augmented,2026-01-09T05:27:58.571899,0.9,intensity
Thất vọng quá,sadness,4,😞,😔,💔,manual,2026-01-09T05:27:58.571900,1.0,original
Thất vọng ghê,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng thật,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng lắm,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng thật,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng lắm,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng cực,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng ghê,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng ghê,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng cực,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất vọng thật,sadness,4,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.95,synonym
Thất rất vọng quá,sadness,5,😞,😔,💔,augmented,2026-01-09T05:27:58.571900,0.9,intensity
Chán ghê,sadness,3,😕,😔,😒,manual,2026-01-09T05:27:58.571902,1.0,original
buồn chán ghê,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
nhàm ghê,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
nhàm ghê,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
tẻ nhạt ghê,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
nhàm ghê,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
Chán dễ sợ,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
Chán kinh,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
Chán ghê tởm,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
Chán dễ sợ,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
Chán dễ sợ,sadness,3,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.95,synonym
Chán rất ghê,sadness,4,😕,😔,😒,augmented,2026-01-09T05:27:58.571902,0.9,intensity
Mệt mỏi lắm,sadness,3,😩,😞,😔,manual,2026-01-09T05:27:58.571904,1.0,original
Mệt mỏi quá,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi ghê,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi nhiều,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi quá,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi quá,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi quá,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi nhiều,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi nhiều,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi nhiều,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt mỏi quá,sadness,3,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.95,synonym
Mệt rất mỏi lắm,sadness,4,😩,😞,😔,augmented,2026-01-09T05:27:58.571904,0.9,intensity
Tức quá!,anger,5,😠,💢,😤,manual,2026-01-09T05:27:58.571905,1.0,original
giận dữ quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
bực mình quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
giận dữ quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
giận dữ quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
bực mình quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
bực mình quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
khó chịu quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
giận dữ quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
khó chịu quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
bực mình quá!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571905,0.95,synonym
Sao lại thế được!,anger,4,😡,💢,😤,manual,2026-01-09T05:27:58.571907,1.0,original
Sao rất lại thế được!,anger,5,😡,💢,😤,augmented,2026-01-09T05:27:58.571907,0.9,intensity
Bực mình ghê!,anger,4,😤,💢,😠,manual,2026-01-09T05:27:58.571909,1.0,original
khó chịu mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
tức bực mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
bực mình mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
bực mình mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
tức bực mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
bực mình mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
khó chịu mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
khó chịu mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
tức bực mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
khó chịu mình ghê!,anger,4,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.95,synonym
Bực rất mình ghê!,anger,5,😤,💢,😠,augmented,2026-01-09T05:27:58.571909,0.9,intensity
Không chấp nhận được!,anger,5,😡,👊,💢,manual,2026-01-09T05:27:58.571911,1.0,original
Quá đáng!,anger,4,😠,💢,🤬,manual,2026-01-09T05:27:58.571912,1.0,original
cực đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
thật đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
ghê đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
cực đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
cực đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
lắm đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
ghê đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
lắm đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
cực đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
thật đáng!,anger,4,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.95,synonym
Quá rất đáng!,anger,5,😠,💢,🤬,augmented,2026-01-09T05:27:58.571912,0.9,intensity
Ghét cay ghét đắng!,anger,5,🤬,💢,😡,manual,2026-01-09T05:27:58.571914,1.0,original
Ghét cay căm ghét đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
chán ghét cay ghét đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
chán ghét cay ghét đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
căm ghét cay ghét đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
Ghét cay ghê tởm đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
chán ghét cay ghét đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
Ghét cay căm ghét đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
Ghét cay chán ghét đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
Ghét cay căm ghét đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
Ghét cay ghê tởm đắng!,anger,5,🤬,💢,😡,augmented,2026-01-09T05:27:58.571914,0.95,synonym
Điên tiết lên được!,anger,5,🤬,💢,😤,manual,2026-01-09T05:27:58.571916,1.0,original
Mày làm gì vậy!,anger,4,😠,💢,😤,manual,2026-01-09T05:27:58.571918,1.0,original
Mày rất làm gì vậy!,anger,5,😠,💢,😤,augmented,2026-01-09T05:27:58.571918,0.9,intensity
Khó chịu quá!,anger,3,😒,😤,💢,manual,2026-01-09T05:27:58.571919,1.0,original
Khó rất chịu quá!,anger,4,😒,😤,💢,augmented,2026-01-09T05:27:58.571919,0.9,intensity
Sốt ruột quá!,anger,3,😤,⏰,😠,manual,2026-01-09T05:27:58.571921,1.0,original
Sốt rất ruột quá!,anger,4,😤,⏰,😠,augmented,2026-01-09T05:27:58.571921,0.9,intensity
Sợ quá!,fear,5,😨,😱,😰,manual,2026-01-09T05:27:58.571923,1.0,original
hoảng sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
hoảng sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
lo sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
kinh sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
kinh sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
kinh sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
hoảng sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
hoảng sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
kinh sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
hoảng sợ quá!,fear,5,😨,😱,😰,augmented,2026-01-09T05:27:58.571923,0.95,synonym
Lo lắng quá!,fear,4,😰,😟,🥺,manual,2026-01-09T05:27:58.571924,1.0,original
bồn chồn lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo âu lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo âu lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo lắng lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo lắng lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo lắng lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo lắng lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo lắng lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo âu lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
lo âu lắng quá!,fear,4,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.95,synonym
Lo rất lắng quá!,fear,5,😰,😟,🥺,augmented,2026-01-09T05:27:58.571924,0.9,intensity
Căng thẳng quá!,fear,4,😰,😬,💦,manual,2026-01-09T05:27:58.571926,1.0,original
Căng rất thẳng quá!,fear,5,😰,😬,💦,augmented,2026-01-09T05:27:58.571926,0.9,intensity
Không dám đâu!,fear,3,😨,🙈,😰,manual,2026-01-09T05:27:58.571928,1.0,original
Không rất dám đâu!,fear,4,😨,🙈,😰,augmented,2026-01-09T05:27:58.571928,0.9,intensity
